d1_1,d1_2,d1_3
501.361,95.04,3.09
501.761,95.042,3.11
502.07,95.05,3.099
501.601,95.043,3.116
502,95.025,3.095
501.761,95.02,3.125
501.471,95.03,3.113
501.511,95.043,3.122
501.431,95.036,3.115
501.791,95.048,3.134
501.781,95.045,3.11
502.25,95.051,3.084
502.829,95.049,3.083
501.801,95.057,3.066
502.35,95.054,3.035
502.52,95.066,2.996
501.841,95.082,2.962
502.699,95.087,2.941
501.691,95.097,2.942
502.39,95.107,2.866
499.663,95.109,2.861
498.215,95.105,2.809
496.967,95.086,2.8
498.006,95.071,2.813
501.681,95.08,2.811
502.55,95.09,2.84
502.4,95.082,2.806
502.04,95.071,2.814
502.15,95.083,2.898
502.46,95.07,2.889
502.759,95.041,2.904
501.261,95.026,2.979
501.201,95.034,2.994
501.861,95.029,3.008
501.441,95.007,3.051
500.802,94.983,3.095
498.365,94.975,3.235
496.548,94.983,3.263
498.016,94.976,3.295
497.137,94.974,3.308
496.737,94.981,3.301
495.069,94.973,3.321
493.801,94.963,3.353
494.33,94.973,3.398
494.65,94.977,3.379
494.7,94.995,3.35
495.139,94.987,3.308
495.109,94.967,3.327
498.375,94.98,3.328
502.57,94.998,3.365
503.219,94.994,3.35
502.729,95.011,3.363
502.699,95.031,3.318
501.601,95.044,3.244
502.47,95.058,3.243
502.46,95.059,3.18
503.528,95.047,3.118
501.89,95.048,3.066
502.909,95.045,3.047
502.39,95.059,3.026
502.54,95.08,2.99
502.25,95.077,2.938
502.47,95.064,2.892
502.29,95.062,2.832
502.21,95.053,2.858
502.969,95.061,2.863
501.97,95.054,2.84
502.709,95.029,2.867
501.861,95.037,2.864
502.23,95.016,2.909
501.062,95.016,2.933
502.23,95.008,2.942
502.33,95.001,2.985
502.14,94.999,2.997
502.07,94.988,3.018
502.19,94.988,3.051
502.21,94.966,3.115
501.89,94.953,3.162
502.38,94.955,3.223
501.681,94.969,3.221
502.08,94.997,3.208
501.851,95.009,3.157
502.689,94.986,3.101
501.671,94.979,3.188
501.291,94.97,3.177
502.12,94.966,3.188
502.17,94.965,3.192
502.21,94.969,3.138
502.45,94.964,3.136
501.571,94.963,3.156
501.861,94.999,3.167
502.08,95.004,3.069
502.46,95.003,2.999
502.51,95.002,2.996
502.27,95.001,2.996
501.831,94.994,2.994
501.521,94.974,3.029
501.9,94.972,3.101
500.213,94.959,3.102
501.531,94.949,3.141
501.371,94.897,3.203
499.474,94.896,3.282
495.978,94.902,3.318
496.038,94.875,3.336
496.028,94.878,3.388
496.897,94.888,3.389
496.997,94.902,3.443
496.607,94.914,3.44
496.068,94.921,3.408
497.846,94.934,3.366
496.308,94.955,3.359
496.837,94.968,3.292
495.968,94.974,3.189
496.627,94.972,3.154
496.158,94.98,3.122
496.288,94.981,3.095
497.356,94.983,3.073
497.207,94.98,3.043
497.616,94.976,3.051
497.067,94.975,2.991
497.836,94.997,2.976
496.797,95.014,2.93
498.295,95.012,2.912
502.32,95.012,2.913
504.457,95.012,2.936
503.828,95.018,2.99
504.048,94.999,3.005
505.466,94.964,3.04
502.889,94.941,3.087
500.183,94.907,3.131
497.876,94.854,3.269
495.808,94.803,3.42
494.32,94.759,3.607
494.74,94.765,3.739
493.432,94.766,3.823
493.951,94.765,3.853
494.001,94.736,3.913
494.89,94.755,4.007
494.6,94.8,4.058
494.67,94.858,3.917
494.38,94.914,3.821
495.019,94.9,3.67
495.079,94.899,3.64
494.221,94.907,3.612
494.33,94.89,3.575
494.59,94.9,3.493
494.52,94.905,3.463
495.029,94.902,3.49
493.791,94.906,3.478
494.72,94.925,3.432
494.71,94.94,3.363
494.85,94.936,3.327
494.92,94.97,3.313
496.897,95.008,3.272
496.637,95.015,3.189
495.379,95.009,3.167
493.901,95.034,3.089
494.87,95.016,3.032
494.73,95.016,2.999
493.671,94.995,3.018
493.462,94.967,3.104
494.32,94.927,3.142
494.74,94.904,3.179
494.77,94.886,3.25
493.472,94.895,3.351
493.961,94.91,3.366
494.48,94.92,3.362
494.58,94.89,3.371
495.769,94.888,3.427
496.957,94.878,3.504
495.998,94.897,3.551
495.908,94.897,3.521
496.078,94.927,3.501
497.976,94.956,3.411
500.872,94.964,3.408
498.395,94.964,3.401
497.456,94.986,3.328
497.376,95.003,3.29
497.586,95.005,3.209
497.656,95.01,3.16
496.937,95.003,3.154
496.747,94.984,3.18
497.336,94.97,3.25
497.536,94.982,3.279
498.125,94.985,3.289
497.596,94.983,3.238
496.907,94.99,3.209
496.727,94.985,3.194
501.281,95.003,3.186
507.413,95.062,3.174
513.226,95.107,3.086
515.193,95.112,2.983
516.831,95.105,2.91
515.612,95.103,2.921
515.023,95.109,2.904
523.123,95.154,2.841
530.493,95.177,2.805
538.992,95.202,2.73
545.843,95.205,2.648
550.257,95.219,2.597
550.457,95.208,2.491
550.976,95.21,2.463
552.114,95.187,2.462
559.065,95.191,2.504
570.191,95.25,2.501
570.151,95.279,2.405
577.791,95.299,2.204
573.496,95.278,2.089
582.894,95.299,2.034
584.821,95.287,2.007
591.223,95.295,1.975
589.845,95.266,1.985
588.996,95.236,2.033
588.477,95.206,2.137
588.656,95.181,2.266
587.588,95.172,2.402
580.927,95.15,2.413
590.144,95.159,2.455
583.164,95.117,2.503
589.935,95.128,2.593
584.951,95.124,2.59
588.577,95.127,2.524
593.37,95.136,2.53
593.86,95.158,2.574
592.072,95.171,2.448
593.31,95.182,2.379
606.213,95.22,2.219
613.014,95.285,2.169
606.293,95.322,1.932
613.254,95.335,1.596
616.43,95.344,1.516
617.239,95.343,1.482
616.11,95.322,1.435
621.483,95.308,1.451
615.961,95.277,1.512
625.089,95.284,1.578
625.168,95.279,1.645
620.744,95.295,1.664
623.9,95.292,1.644
615.731,95.26,1.702
623.87,95.266,1.764
627.585,95.267,1.83
627.056,95.257,1.888
625.388,95.261,1.917
631.85,95.276,1.924
633.418,95.275,1.912
625.408,95.26,1.897
631.72,95.265,1.805
638.401,95.298,1.862
642.925,95.321,1.854
644.943,95.319,1.77
643.854,95.306,1.746
641.028,95.293,1.75
643.345,95.282,1.693
649.956,95.291,1.731
647.819,95.276,1.723
649.257,95.292,1.783
647.01,95.298,1.726
642.805,95.288,1.709
633.927,95.254,1.717
632.359,95.236,1.757
633.088,95.233,1.804
632.059,95.236,1.853
631.011,95.233,1.883
633.667,95.239,1.9
634.017,95.246,1.839
633.488,95.254,1.816
632.988,95.254,1.74
634.716,95.252,1.72
637.672,95.255,1.691
640.608,95.274,1.636
642.975,95.29,1.606
638.571,95.28,1.619
646.96,95.286,1.59
647.689,95.287,1.648
653.571,95.297,1.625
649.507,95.273,1.613
643.604,95.255,1.573
646.92,95.257,1.592
648.368,95.248,1.596
646.75,95.224,1.621
645.402,95.246,1.67
652.552,95.253,1.612
644.313,95.23,1.602
654.27,95.224,1.606
659.184,95.212,1.624
660.222,95.233,1.706
657.626,95.231,1.691
659.453,95.235,1.638
651.514,95.212,1.581
658.904,95.191,1.602
656.028,95.182,1.734
657.067,95.191,1.766
651.704,95.171,1.752
653.551,95.169,1.799
651.933,95.183,1.812
663.159,95.194,1.776
660.432,95.193,1.822
652.223,95.19,1.76
662.14,95.183,1.699
666.095,95.155,1.766
663.928,95.158,1.848
674.743,95.174,1.848
671.218,95.167,1.848
673.645,95.158,1.889
672.486,95.144,1.909
671.608,95.134,1.929
666.524,95.119,1.976
669.56,95.139,2.011
670.499,95.126,1.996
670.918,95.137,2.028
669.39,95.138,2.013
669.301,95.134,2.014
680.945,95.16,2.004
685.619,95.181,2.001
685.369,95.192,1.929
683.292,95.188,1.842
684.301,95.172,1.779
694.917,95.196,1.801
696.215,95.192,1.784
691.342,95.181,1.741
692.031,95.152,1.726
698.173,95.147,1.86
698.672,95.135,1.96
691.841,95.122,2.054
691.272,95.094,2.104
699.351,95.091,2.21
694.577,95.085,2.359
694.627,95.08,2.384
693.069,95.05,2.451
694.228,95.038,2.607
691.112,95.019,2.69
705.333,95.029,2.767
707.99,95.041,2.849
704.624,95.071,2.759
703.516,95.073,2.69
704.304,95.056,2.573
704.225,95.045,2.629
703.406,95.034,2.648
704.524,95.034,2.629
704.994,95.029,2.655
704.524,95.017,2.666
701.888,95.014,2.639
705.703,95.005,2.591
709.228,95.012,2.677
710.616,95.025,2.706
708.699,95.049,2.724
708.139,95.048,2.561
717.797,95.043,2.613
722.121,95.048,2.652
724.987,95.065,2.648
724.967,95.062,2.556
724.877,95.029,2.561
726.006,95.09,3.29
721.422,95.103,3.035
720.953,95.088,2.944
718.236,95.098,2.961
721.052,95.113,2.829
727.254,95.119,2.762
722.89,95.136,2.736
719.395,95.117,2.668
709.847,95.077,2.669
702.137,95.037,2.718
697.074,95.02,2.773
712.074,95.04,2.874
722.81,95.063,2.933
733.836,95.101,2.988
747.168,95.123,2.979
751.602,95.125,2.877
751.722,95.131,2.858
762.398,95.146,2.84
782.592,95.167,2.811
800.298,95.183,2.736
814.779,95.204,2.722
812.702,95.201,2.602
822.439,95.203,2.491
824.497,95.198,2.449
831.627,95.207,2.373
835.961,95.199,2.359
844.43,95.198,2.317
855.176,95.19,2.278
870.836,95.225,2.291
883.02,95.256,2.106
893.266,95.266,1.967
906.249,95.269,1.827
911.472,95.272,1.735
916.216,95.267,1.671
909.095,95.243,1.639
911.023,95.236,1.67
916.576,95.223,1.683
910.334,95.206,1.723
916.256,95.206,1.79
912.841,95.177,1.807
907.528,95.151,1.859
897.63,95.113,1.866
894.205,95.094,1.952
885.337,95.071,2.036
884.568,95.06,2.108
882.65,95.059,2.184
875.999,95.075,2.271
870.226,95.055,2.242
866.142,95.03,2.359
855.766,95.004,2.458
853.968,95.013,2.526
845.978,95.004,2.568
845.609,95.014,2.576
835.552,95.014,2.477
837.619,95.023,2.423
826.094,95.012,2.478
822.749,95.002,2.484
