d1_1,d1_2,d1_3
660.842,94.945,2.199
659.763,94.904,2.253
648.788,94.897,2.367
645.692,94.877,2.458
646.121,94.85,2.471
646.94,94.871,2.559
644.014,94.875,2.553
648.907,94.905,2.524
642.905,94.889,2.449
642.586,94.886,2.445
642.526,94.889,2.384
642.356,94.908,2.426
635.725,94.91,2.385
646.351,94.937,2.304
640.588,94.921,2.271
643.065,94.929,2.315
642.915,94.923,2.225
637.532,94.901,2.251
631.44,94.898,2.245
633.318,94.907,2.231
634.836,94.926,2.291
633.937,94.954,2.298
626.337,94.949,2.253
631.67,94.946,2.217
628.125,94.904,2.15
640.608,94.949,2.291
644.673,94.967,2.307
644.573,94.969,2.278
633.148,94.94,2.231
630.951,94.911,2.231
632.119,94.889,2.289
623.061,94.894,2.414
625.049,94.888,2.411
617.978,94.865,2.402
615.351,94.88,2.483
622.782,94.878,2.475
617.319,94.902,2.515
618.757,94.909,2.486
618.767,94.893,2.39
618.907,94.899,2.413
628.474,94.916,2.417
628.005,94.933,2.478
622.802,94.94,2.417
620.235,94.942,2.323
620.604,94.921,2.291
621.094,94.944,2.364
620.964,94.957,2.344
621.343,94.959,2.275
620.774,94.956,2.274
616.82,94.94,2.242
615.711,94.937,2.251
613.334,94.927,2.283
612.315,94.922,2.332
619.256,94.933,2.487
614.962,94.901,2.486
616.27,94.912,2.475
614.283,94.906,2.437
616.43,94.915,2.468
612.925,94.923,2.51
611.337,94.91,2.539
610.048,94.897,2.579
605.155,94.903,2.628
607.432,94.911,2.616
607.582,94.956,2.658
606.932,94.95,2.675
608.341,94.926,2.663
606.114,94.905,2.652
607.452,94.904,2.625
607.122,94.918,2.616
607.741,94.928,2.677
605.704,94.929,2.683
594.569,94.885,2.626
602.478,94.897,2.581
601.839,94.917,2.585
600.93,94.909,2.559
595.368,94.882,2.585
597.794,94.865,2.605
598.533,94.875,2.651
607.691,94.917,2.683
609,94.935,2.651
606.922,94.939,2.617
605.694,94.931,2.521
603.976,94.937,2.5
607.012,94.949,2.468
605.794,94.928,2.458
602.408,94.916,2.472
611.407,94.945,2.513
603.717,94.926,2.503
601.789,94.909,2.51
613.134,94.898,2.491
605.914,94.892,2.603
605.494,94.925,2.62
606.014,94.91,2.529
606.163,94.911,2.579
606.443,94.92,2.544
606.653,94.926,2.513
606.543,94.942,2.483
606.613,94.942,2.426
606.373,94.926,2.391
601.31,94.911,2.37
601.729,94.91,2.372
603.307,94.896,2.39
603.367,94.905,2.439
603.028,94.905,2.457
596.676,94.89,2.455
594.579,94.893,2.399
595.298,94.899,2.344
595.408,94.888,2.336
595.577,94.879,2.327
593.4,94.896,2.333
584.063,94.865,2.301
582.525,94.859,2.277
588.377,94.856,2.256
592.861,94.905,2.301
592.591,94.932,2.295
592.342,94.943,2.178
591.463,94.927,2.181
590.834,94.909,2.222
591.672,94.917,2.23
601.45,94.955,2.237
600.231,94.936,2.24
603.727,94.955,2.349
609.859,94.974,2.382
607.612,94.979,2.384
608.52,94.963,2.391
609.749,94.937,2.451
610.548,94.918,2.565
610.078,94.933,2.608
609.369,94.955,2.591
609.299,94.96,2.52
600.701,94.922,2.487
599.782,94.907,2.562
598.953,94.89,2.59
598.733,94.912,2.674
600.051,94.951,2.666
605.175,94.985,2.565
606.433,95.001,2.419
606.793,95.002,2.361
613.833,95.014,2.294
615.781,95.019,2.292
613.584,95.009,2.292
614.912,94.993,2.278
614.822,94.992,2.274
626.347,95.017,2.286
621.853,95.027,2.278
626.537,95.049,2.23
622.162,95.027,2.146
624.569,95.029,2.144
621.324,95.016,2.118
622.202,95.009,2.132
628.524,95.004,2.158
627.995,95.024,2.162
620.934,95.014,2.137
618.727,94.999,2.036
626.167,94.984,1.995
622.282,94.979,2.062
628.624,95.004,2.076
628.015,94.997,2.013
626.437,95,2.033
617.509,94.984,2.054
620.545,94.972,2.043
625.588,94.974,2.076
624.519,94.995,2.126
627.855,95.022,2.079
632.758,95.028,2.011
622.991,95.029,2.027
621.423,95.011,1.944
624.22,94.976,1.947
629.433,94.993,2.007
636.743,95.029,2.037
635.415,95.027,2.008
627.246,94.994,2.016
625.878,94.953,2.008
626.617,94.95,2.124
620.055,94.956,2.253
628.204,94.966,2.251
621.433,94.952,2.243
619.196,94.965,2.3
619.815,94.966,2.262
620.195,94.967,2.253
631.59,95,2.275
632.758,95.013,2.211
631.211,95.026,2.172
630.831,95.012,2.066
628.993,95.004,2.054
630.911,95.009,2.05
630.072,95,2.034
630.951,94.988,1.99
630.022,94.979,1.993
630.452,94.975,2.01
629.962,94.975,2.024
630.232,94.966,2.086
630.691,94.963,2.126
630.472,94.97,2.162
630.911,94.996,2.166
630.781,95.018,2.132
629.613,95.01,2.062
630.571,95.008,2.053
630.911,95.023,2.06
629.043,95.007,2.021
626.397,94.979,1.979
625.518,94.982,2.028
627.455,94.998,2.08
626.467,94.995,2.022
616.45,94.974,1.984
618.447,94.946,1.992
625.858,94.955,2.014
623.621,94.987,2.147
623.111,94.991,2.047
614.183,94.946,2.03
609.11,94.923,2.042
607.831,94.897,2.143
610.817,94.913,2.256
610.907,94.91,2.306
610.248,94.901,2.343
608.301,94.9,2.365
601.12,94.852,2.399
597.884,94.8,2.526
599.083,94.762,2.698
598.833,94.77,2.86
588.237,94.779,2.944
587.987,94.78,2.922
587.548,94.769,2.941
587.917,94.756,2.997
581.766,94.744,3.054
580.088,94.733,3.037
571.909,94.696,3.041
566.785,94.656,3.125
566.905,94.679,3.209
569.751,94.721,3.214
570.48,94.748,3.217
569.961,94.783,3.179
569.821,94.789,3.102
564.358,94.782,3.092
560.553,94.732,3.109
561.752,94.71,3.15
563.639,94.752,3.206
564.139,94.8,3.189
563.619,94.831,3.087
563.559,94.857,2.962
558.876,94.84,2.89
554.951,94.819,2.869
548.919,94.766,2.886
549.258,94.786,2.971
550.217,94.802,3.022
550.507,94.843,3.008
550.357,94.847,2.976
550.776,94.83,2.942
551.126,94.831,2.959
549.798,94.787,2.973
548.939,94.752,3.086
549.298,94.741,3.147
551.525,94.726,3.234
551.056,94.709,3.282
550.686,94.727,3.342
551.036,94.756,3.357
550.347,94.765,3.267
550.237,94.771,3.249
550.527,94.783,3.189
551.415,94.796,3.066
552.214,94.807,3.006
552.374,94.828,2.922
552.923,94.846,2.79
562.111,94.88,2.7
558.137,94.872,2.617
552.384,94.865,2.599
546.322,94.841,2.509
538.912,94.824,2.509
538.203,94.818,2.478
537.594,94.821,2.526
529.664,94.77,2.568
520.196,94.791,2.663
516.641,94.792,2.654
510.949,94.769,2.626
507.962,94.58,2.718
499.643,94.345,3.115
499.574,94.166,3.528
495.489,94.064,3.99
487.999,94.05,4.363
483.714,94.117,4.584
490.016,94.226,4.686
493.561,94.357,4.706
495.159,94.412,4.54
495.978,94.452,4.399
494.7,94.49,4.261
495.429,94.568,4.155
499.124,94.654,4.006
500.512,94.722,3.788
497.047,94.728,3.572
497.786,94.75,3.434
497.926,94.82,3.322
497.836,94.861,3.15
502.45,94.873,2.921
505.646,94.85,2.771
504.028,94.84,2.751
501.691,94.853,2.764
498.815,94.828,2.712
495.099,94.808,2.713
493.931,94.755,2.768
491.264,94.731,2.895
489.537,94.7,2.985
490.426,94.669,3.101
492.103,94.642,3.228
490.515,94.635,3.347
491.764,94.628,3.455
493.731,94.632,3.501
493.212,94.626,3.536
494.76,94.637,3.56
495.179,94.64,3.586
494.071,94.662,3.615
495.499,94.682,3.614
494.92,94.702,3.575
494.66,94.675,3.466
494.46,94.683,3.482
494.55,94.718,3.495
494.93,94.71,3.484
494.67,94.735,3.536
494.43,94.76,3.473
495.069,94.76,3.363
494.49,94.728,3.348
494.59,94.726,3.363
494.271,94.704,3.382
495.888,94.686,3.401
495.349,94.702,3.493
494.47,94.726,3.516
494.98,94.741,3.492
495.429,94.751,3.452
494.71,94.746,3.429
493.881,94.747,3.392
494.93,94.753,3.38
494.97,94.778,3.368
494.77,94.782,3.344
494.49,94.805,3.244
494.73,94.817,3.212
495.069,94.795,3.211
495.159,94.817,3.226
494.241,94.823,3.24
493.531,94.829,3.244
494.71,94.812,3.25
494.201,94.794,3.293
494.38,94.764,3.293
494.89,94.736,3.336
494.38,94.739,3.45
493.681,94.744,3.478
494.63,94.729,3.502
493.881,94.734,3.488
495.119,94.763,3.528
495.029,94.763,3.525
494.56,94.764,3.554
494.87,94.766,3.554
494.72,94.741,3.394
494.43,94.738,3.456
494.42,94.746,3.446
508.861,94.834,3.449
531.711,94.874,3.315
557.767,94.937,3.244
572.368,94.985,3.139
580.447,94.976,3.11
585.071,94.989,3.128
595.537,95.026,3.118
594.079,95.006,3.005
606.333,95.032,2.947
612.635,95.025,2.927
620.744,95.01,2.906
627.445,95.01,2.909
640.039,95.094,2.965
655.329,95.169,2.782
656.957,95.175,2.471
664.637,95.215,2.188
673.385,95.304,2.188
684.041,95.324,1.705
687.087,95.302,1.631
687.447,95.284,1.644
694.507,95.286,1.735
687.277,95.266,1.856
684.95,95.282,1.873
681.704,95.261,1.725
693.029,95.251,1.72
685.809,95.211,1.752
690.563,95.188,1.796
693.489,95.135,1.862
706.881,95.118,2.011
707.9,95.119,2.26
700.839,95.107,2.338
715.15,95.084,2.291
712.614,95.061,2.359
719.554,95.078,2.498
717.387,95.064,2.454
723.739,95.05,2.472
724.388,95.032,2.497
713.922,95.024,2.555
714.831,95.02,2.513
721.722,95.007,2.446
715.789,95.018,2.503
717.507,95.058,2.503
711.825,95.043,2.367
704.145,95.008,2.376
703.136,94.967,2.405
702.707,94.949,2.468
704.035,94.984,2.536
706.032,94.998,2.448
699.321,94.996,2.399
698.392,95.012,2.323
704.035,95.008,2.26
702.417,95.014,2.269
712.224,95.034,2.263
715.26,95.059,2.233
708.469,95.067,2.175
704.674,95.036,2.069
699.571,94.989,2.054
705.852,94.988,2.112
706.851,95.022,2.179
709.737,95.038,2.158
715.26,95.061,2.068
712.983,95.043,1.998
708.559,95.032,2.011
704.544,95.003,1.976
704.944,94.966,2.011
703.086,94.947,2.098
696.814,94.947,2.227
704.085,94.94,2.26
697.743,94.923,2.297
700.09,94.933,2.355
691.851,94.919,2.347
689.095,94.904,2.434
693.808,94.891,2.425
704.964,94.918,2.468
705.952,94.959,2.48
704.045,94.97,2.401
699.701,94.958,2.275
693.309,94.954,2.272
704.125,94.926,2.234
706.112,94.941,2.246
705.533,94.975,2.349
704.784,94.987,2.286
703.995,94.986,2.207
702.827,94.976,2.172
698.223,94.979,2.219
698.962,94.974,2.249
699.9,94.983,2.245
695.696,94.978,2.155
690.513,94.948,2.137
700.499,94.927,2.178
703.825,94.956,2.271
703.785,94.985,2.339
697.723,94.965,2.256
703.735,94.942,2.21
695.985,94.919,2.291
686.288,94.891,2.373
684.151,94.872,2.402
693.339,94.874,2.481
690.113,94.919,2.605
687.806,94.955,2.588
679.737,94.924,2.462
681.484,94.901,2.449
688.675,94.919,2.451
685.359,94.931,2.489
692.989,94.952,2.43
697.573,94.947,2.394
691.002,94.943,2.446
688.945,94.929,2.436
686.798,94.892,2.458
688.256,94.889,2.578
688.605,94.891,2.596
687.636,94.891,2.62
680.136,94.877,2.652
687.477,94.892,2.69
680.915,94.89,2.681
678.978,94.912,2.687
670.948,94.912,2.593
669.37,94.898,2.552
670.539,94.888,2.545
665.915,94.898,2.6
660.402,94.89,2.558
656.827,94.875,2.516
659.324,94.897,2.538
663.248,94.908,2.594
669.86,94.921,2.6
670.649,94.946,2.605
661.441,94.939,2.524
663.908,94.926,2.475
660.342,94.879,2.469
654.081,94.879,2.603
642.396,94.849,2.657
645.791,94.812,2.664
637.532,94.78,2.773
625.438,94.765,2.942
632.479,94.767,2.942
626.157,94.816,3.017
628.334,94.851,2.994
618.198,94.828,2.811
618.317,94.79,2.77
618.937,94.819,2.814
625.957,94.876,2.851
627.555,94.896,2.756
617.529,94.896,2.701
618.487,94.892,2.634
619.835,94.909,2.541
613.074,94.927,2.578
606.213,94.923,2.478
616.31,94.919,2.434
627.645,94.987,2.468
632.549,95.029,2.468
636.534,95.058,2.364
643.964,95.071,2.248
644.293,95.057,2.201
646.351,95.057,2.217
658.265,95.076,2.172
661.451,95.082,2.188
655.768,95.119,2.15
653.481,95.106,2.15
645.672,95.076,1.911
657.156,95.083,1.958
664.487,95.107,1.976
657.856,95.108,1.976
659.304,95.101,1.885
663.149,95.089,1.841
666.195,95.093,1.891
669.56,95.101,1.888
664.257,95.083,1.865
652.093,95.054,1.857
648.807,95.001,1.892
642.825,94.966,1.931
644.783,94.996,2.089
646.081,95.022,2.059
647.669,95.033,2.027
643.684,95.009,1.973
649.676,95.023,2.007
644.084,95.008,2.048
651.973,95.018,2.066
645.412,95.013,2.098
642.985,95.011,2.106
632.489,94.981,2.097
621.513,94.935,2.161
612.415,94.883,2.216
615.631,94.894,2.355
612.505,94.933,2.442
620.255,94.976,2.411
618.068,94.954,2.332
611.666,94.935,2.402
601.06,94.845,2.356
604.406,94.811,2.457
610.158,94.814,2.649
614.343,94.883,2.808
612.445,94.927,2.77
615.391,94.95,2.632
617.039,94.935,2.565
614.552,94.923,2.584
615.741,94.915,2.616
622.432,94.946,2.655
622.163,94.954,2.683
622.392,94.959,2.652
611.486,94.937,2.562
601.41,94.91,2.545
601.13,94.879,2.515
609.729,94.904,2.561
601.52,94.97,2.622
597.874,94.991,2.455
597.445,94.964,2.289
599.043,94.979,2.314
606.293,94.997,2.298
610.927,95.009,2.256
603.347,95.035,2.222
602.329,95.015,2.159
610.458,94.998,2.138
607.681,95.013,2.23
606.363,94.992,2.285
597.964,94.956,2.346
596.586,94.925,2.368
606.633,94.944,2.426
597.345,94.957,2.541
595.038,94.924,2.495
601.19,94.907,2.526
593.78,94.918,2.651
593.33,94.936,2.692
593.65,94.909,2.616
597.705,94.911,2.646
595.178,94.913,2.689
595.408,94.934,2.71
585.421,94.92,2.684
591.912,94.924,2.678
598.553,94.942,2.663
593.96,94.956,2.735
597.535,94.954,2.643
594.319,94.949,2.62
590.864,94.952,2.658
602.209,94.95,2.57
604.556,94.987,2.62
599.243,94.997,2.628
595.997,94.97,2.483
591.832,94.935,2.411
590.664,94.923,2.442
586.889,94.935,2.48
583.254,94.958,2.507
592.861,94.96,2.373
591.393,94.998,2.396
594.119,95.046,2.397
596.666,95.052,2.249
588.726,95.014,2.245
586.24,94.991,2.234
583.633,94.969,2.242
589.216,94.98,2.323
590.993,95.005,2.404
587.688,94.991,2.399
585.461,94.973,2.41
591.373,94.958,2.425
585.481,94.922,2.498
595.028,94.927,2.62
597.505,94.947,2.658
597.914,94.942,2.713
589.426,94.903,2.703
597.325,94.876,2.741
596.217,94.881,2.785
599.362,94.883,2.906
600.731,94.899,2.852
593.8,94.889,2.797
601.36,94.885,2.762
594.499,94.869,2.77
588.327,94.887,2.835
587.758,94.872,2.703
589.046,94.887,2.689
596.396,94.931,2.668
596.486,94.964,2.555
597.744,95.002,2.478
598.244,94.996,2.294
597.645,94.982,2.272
592.561,94.957,2.254
601.859,94.953,2.236
597.006,94.927,2.242
593.91,94.926,2.268
596.376,94.94,2.205
597.814,94.953,2.214
595.138,94.955,2.21
600.081,94.969,2.219
599.472,94.971,2.201
594.299,94.966,2.187
597.824,94.956,2.196
596.077,94.931,2.208
598.434,94.96,2.315
599.063,94.959,2.326
597.984,94.948,2.289
598.933,94.941,2.312
597.785,94.941,2.315
598.573,94.937,2.314
598.374,94.939,2.341
598.134,94.965,2.375
599.462,94.969,2.39
599.263,94.974,2.382
598.304,94.983,2.404
598.613,94.982,2.364
603.127,95,2.314
603.627,95.011,2.28
596.756,94.97,2.26
599.882,94.97,2.185
596.636,94.968,2.237
605.984,95.014,2.28
598.214,95.009,2.234
600.691,95.012,2.237
596.526,95.005,2.188
607.512,95.012,2.263
603.687,95.018,2.262
612.505,95.043,2.254
604.246,95.054,2.178
594.529,94.996,2.12
601.1,94.98,2.076
604.755,94.986,2.213
605.245,95.043,2.3
605.674,95.074,2.251
605.225,95.07,2.161
596.586,95.037,2.15
599.003,95.03,2.169
600.87,95,2.167
600.531,94.998,2.245
611.566,95.076,2.251
603.337,95.087,2.228
602.039,95.067,2.198
609.279,95.06,2.169
611.057,95.066,2.281
605.924,95.053,2.339
600.93,95.023,2.336
597.984,95.002,2.376
592.821,94.99,2.437
601.27,94.99,2.494
605.634,95.029,2.516
607.142,95.064,2.475
600.84,95.097,2.404
601.4,95.074,2.274
602.678,95.046,2.256
601.19,95.048,2.317
595.787,95.035,2.329
603.477,95.016,2.321
599.942,95.023,2.37
599.233,95.051,2.402
606.942,95.074,2.321
600.771,95.061,2.266
601.14,95.078,2.211
599.123,95.065,2.153
593.35,95.037,2.14
601.869,95.053,2.155
594.179,95.038,2.173
590.554,95.046,2.22
591.223,95.003,2.144
600.77,95.017,2.181
596.616,95.076,2.269
600.361,95.097,2.228
597.125,95.047,2.132
601.949,95.055,2.191
603.767,95.055,2.195
601.679,95.066,2.307
595.667,95.034,2.285
599.213,95.024,2.272
598.743,95.038,2.32
601.969,95.053,2.387
599.892,95.056,2.381
600.87,95.048,2.346
598.743,95.003,2.312
604.306,95.006,2.367
597.874,95,2.399
608.181,95.017,2.41
605.974,95.021,2.343
604.935,95.024,2.365
607.621,95.03,2.297
601.639,95.029,2.298
607.482,95.019,2.323
606.873,95.008,2.346
602.668,94.988,2.413
608.76,95.009,2.422
602.099,94.992,2.396
601.739,94.975,2.404
603.807,94.987,2.454
604.286,94.997,2.434
602.169,94.97,2.365
603.896,94.926,2.338
599.243,94.883,2.347
607.042,94.908,2.375
599.682,94.884,2.39
606.992,94.895,2.397
604.955,94.885,2.37
597.715,94.902,2.434
604.106,94.896,2.336
600.022,94.883,2.275
603.477,94.906,2.332
599.312,94.867,2.3
600.641,94.875,2.314
605.315,94.866,2.304
609.01,94.883,2.339
601.839,94.872,2.343
606.503,94.852,2.327
610.867,94.864,2.346
612.845,94.898,2.458
606.503,94.882,2.436
607.122,94.867,2.347
605.534,94.857,2.35
601.719,94.846,2.397
607.572,94.856,2.407
607.082,94.872,2.458
598.484,94.872,2.503
607.671,94.889,2.448
607.522,94.872,2.367
604.506,94.882,2.442
610.787,94.887,2.402
612.905,94.896,2.401
615.921,94.902,2.428
619.316,94.9,2.42
611.916,94.876,2.428
610.867,94.856,2.449
611.786,94.863,2.455
612.635,94.876,2.533
612.156,94.907,2.484
607.672,94.91,2.41
611.177,94.911,2.315
609.459,94.918,2.278
613.014,94.939,2.281
608.77,94.945,2.277
618.827,94.977,2.236
623.96,94.994,2.118
622.772,95.012,2.147
619.556,95.026,2.053
626.886,95.028,2.019
637.143,95.014,1.842
641.337,95.021,1.963
646.131,95.031,2.066
660.113,95.062,2.04
669.011,95.089,2.033
675.652,95.12,2.027
680.885,95.127,1.929
689.284,95.147,1.784
690.223,95.132,1.747
686.019,95.113,1.702
691.082,95.099,1.708
698.892,95.109,1.744
709.268,95.117,1.812
716.518,95.106,1.839
723.869,95.1,1.827
733.177,95.101,1.807
744.991,95.087,1.784
755.527,95.071,1.825
756.027,95.051,1.786
763.417,95.036,1.86
765.174,95.016,1.923
768.31,95.016,1.952
776.35,95.003,1.978
788.484,95.021,2.047
792.509,95.029,2.056
785.318,95.023,1.981
792.768,95.022,1.921
789.562,95.01,1.876
798.491,95.007,1.83
796.344,94.996,1.773
803.055,94.994,1.764
808.198,94.961,1.72
809.297,94.966,1.772
808.558,94.972,1.88
798.85,94.951,1.854
796.064,94.935,1.841
789.632,94.909,1.804
790.861,94.9,1.848
784.799,94.868,1.851
772.934,94.831,1.938
764.935,94.794,1.998
770.398,94.752,2.114
766.892,94.751,2.243
774.572,94.763,2.385
771.986,94.781,2.382
768.47,94.779,2.396
767.112,94.732,2.336
757.844,94.721,2.397
756.496,94.731,2.446
748.387,94.731,2.411
751.183,94.745,2.397
751.433,94.732,2.373
750.793,94.722,2.405
743.972,94.721,2.455
750.953,94.725,2.466
742.544,94.7,2.457
742.744,94.722,2.489
741.965,94.731,2.492
742.874,94.747,2.462
742.404,94.764,2.434
741.695,94.79,2.434
738.26,94.792,2.381
733.916,94.786,2.3
742.674,94.786,2.222
740.587,94.802,2.26
736.053,94.783,2.294
739.578,94.778,2.253
730.979,94.784,2.268
731.389,94.786,2.329
728.732,94.779,2.318
730.75,94.774,2.37
732.537,94.754,2.417
741.975,94.755,2.478
743.862,94.766,2.576
742.834,94.774,2.607
742.544,94.766,2.521
742.165,94.761,2.52
734.005,94.746,2.513
730.74,94.722,2.489
727.444,94.721,2.487
726.366,94.757,2.55
728.922,94.786,2.535
731.149,94.813,2.463
725.617,94.82,2.378
725.367,94.814,2.289
726.355,94.804,2.249
726.855,94.8,2.318
725.557,94.8,2.388
721.242,94.788,2.407
722.83,94.768,2.426
720.433,94.76,2.451
711.455,94.742,2.471
708.409,94.74,2.538
697.104,94.703,2.55
695.157,94.696,2.599
702.407,94.708,2.622
698.562,94.716,2.721
694.657,94.718,2.767
694.008,94.705,2.753
694.048,94.721,2.744
695.117,94.744,2.796
695.226,94.744,2.739
690.183,94.731,2.689
686.638,94.732,2.681
688.535,94.735,2.683
686.917,94.752,2.741
677.689,94.752,2.736
676.251,94.751,2.674
679.747,94.754,2.639
684.041,94.799,2.654
686.608,94.819,2.588
695.236,94.842,2.544
696.834,94.862,2.494
697.284,94.868,2.44
695.127,94.85,2.397
689.474,94.813,2.35
688.306,94.791,2.411
686.298,94.755,2.481
685.679,94.746,2.547
686.778,94.78,2.672
695.876,94.831,2.649
692.93,94.835,2.596
689.624,94.872,2.55
688.296,94.867,2.451
687.047,94.871,2.341
676.671,94.866,2.307
681.934,94.877,2.285
681.205,94.899,2.233
684.011,94.926,2.208
682.893,94.927,2.091
688.455,94.94,2.014
697.304,94.955,1.966
698.322,94.964,1.984
696.495,94.95,1.963
692.62,94.908,1.935
700.14,94.881,1.958
690.762,94.859,2.062
697.733,94.828,2.193
700.22,94.807,2.275
705.763,94.833,2.428
708.749,94.862,2.443
712.084,94.854,2.384
703.576,94.814,2.396
708.419,94.815,2.46
713.682,94.831,2.483
719.594,94.878,2.52
724.338,94.882,2.442
727.324,94.881,2.31
733.746,94.881,2.31
731.928,94.89,2.298
738.43,94.892,2.237
746.839,94.888,2.217
747.518,94.888,2.275
748.666,94.885,2.335
751.642,94.88,2.314
751.932,94.902,2.358
749.695,94.904,2.338
749.275,94.891,2.248
749.974,94.858,2.228
759.532,94.831,2.495
761.26,94.798,2.588
769.379,94.775,2.628
779.735,94.774,2.594
790.801,94.825,2.471
794.416,94.877,2.283
789.493,94.903,2.147
779.416,94.888,2.144
783.021,94.868,2.23
781.503,94.857,2.196
779.246,94.881,2.082
773.534,94.88,2.072
771.606,94.856,2.143
766.183,94.83,2.19
767.801,94.799,2.243
776.899,94.796,2.268
781.074,94.818,2.257
784.459,94.823,2.234
778.667,94.801,2.245
781.593,94.789,2.324
781.333,94.761,2.387
781.833,94.749,2.466
776.679,94.739,2.446
767.811,94.736,2.43
767.402,94.74,2.443
768.62,94.737,2.457
764.156,94.752,2.413
763.457,94.747,2.448
763.617,94.73,2.484
756.356,94.728,2.474
752.192,94.721,2.521
753.24,94.684,2.596
755.407,94.689,2.579
755.088,94.733,2.475
752.981,94.755,2.399
754.059,94.749,2.426
756.166,94.748,2.44
747.578,94.74,2.455
746.609,94.724,2.533
746.489,94.7,2.607
748.147,94.698,2.614
748.506,94.706,2.602
746.419,94.708,2.591
735.893,94.709,2.558
734.755,94.691,2.649
735.004,94.677,2.681
735.404,94.709,2.62
739.508,94.732,2.574
741.026,94.751,2.503
728.872,94.748,2.483
727.634,94.715,2.561
727.604,94.707,2.553
724.947,94.716,2.571
716.838,94.714,2.619
715.929,94.702,2.693
717.957,94.703,2.716
715.33,94.709,2.704
715.32,94.714,2.722
713.353,94.698,2.785
706.412,94.698,2.771
717.847,94.706,2.805
720.523,94.725,2.751
715.07,94.776,2.565
715.47,94.794,2.611
717.008,94.754,2.69
717.148,94.764,2.632
717.417,94.773,2.652
716.948,94.746,2.668
717.347,94.737,2.671
729.002,94.767,2.674
729.911,94.795,2.587
720.933,94.793,2.527
721.622,94.769,2.632
729.312,94.739,2.68
723.32,94.756,2.619
722.8,94.773,2.593
720.463,94.768,2.579
718.416,94.77,2.582
729.282,94.78,2.573
723.819,94.803,2.469
724.158,94.808,2.452
734.914,94.819,2.458
736.103,94.838,2.394
735.154,94.84,2.388
726.296,94.807,2.375
725.217,94.775,2.484
726.675,94.736,2.6
727.194,94.74,2.61
720.883,94.733,2.61
727.474,94.734,2.681
721.971,94.728,2.625
731.529,94.773,2.648
727.714,94.757,2.637
722.78,94.735,2.654
719.085,94.727,2.657
730.101,94.746,2.681
732.198,94.758,2.564
729.411,94.785,2.501
737.84,94.788,2.504
735.613,94.801,2.423
729.182,94.802,2.449
725.187,94.773,2.507
727.025,94.761,2.506
732.168,94.772,2.475
728.363,94.788,2.414
724.848,94.779,2.483
725.287,94.773,2.521
718.396,94.764,2.489
719.445,94.776,2.492
719.814,94.775,2.452
719.594,94.792,2.442
720.453,94.804,2.387
721.142,94.822,2.367
732.158,94.829,2.361
728.672,94.833,2.304
723.399,94.821,2.324
719.015,94.795,2.419
718.406,94.757,2.556
719.065,94.725,2.642
719.315,94.713,2.664
720.383,94.718,2.681
727.913,94.759,2.617
728.643,94.78,2.567
728.073,94.779,2.549
728.043,94.788,2.541
728.033,94.797,2.486
727.774,94.799,2.475
728.962,94.804,2.469
741.815,94.818,2.472
744.142,94.816,2.43
737.691,94.812,2.393
738.09,94.803,2.44
738.21,94.793,2.448
739.478,94.791,2.458
747.248,94.795,2.436
747.568,94.814,2.372
750.234,94.822,2.327
750.993,94.812,2.315
745.66,94.808,2.288
743.243,94.792,2.384
740.717,94.752,2.46
738.18,94.747,2.497
739.358,94.737,2.559
731.639,94.725,2.568
725.876,94.699,2.68
722.321,94.643,2.838
732.957,94.643,2.845
728.403,94.662,2.765
726.376,94.673,2.779
722.88,94.676,2.744
726.106,94.706,2.669
717.198,94.727,2.574
715.02,94.711,2.663
710.976,94.696,2.687
715.749,94.704,2.664
728.183,94.736,2.666
723.469,94.761,2.516
733.087,94.795,2.501
729.741,94.775,2.506
730.61,94.775,2.5
725.507,94.758,2.541
721.142,94.73,2.607
728.613,94.722,2.666
719.724,94.718,2.655
719.325,94.713,2.669
719.554,94.716,2.675
710.716,94.727,2.668
714.491,94.727,2.722
708.699,94.708,2.733
707.021,94.72,2.706
705.823,94.722,2.695
704.424,94.724,2.672
696.315,94.725,2.626
697.873,94.743,2.632
698.502,94.743,2.585
698.732,94.761,2.552
709.398,94.793,2.559
703.985,94.806,2.474
699.481,94.805,2.478
701.059,94.78,2.523
696.744,94.778,2.5
689.035,94.768,2.55
683.562,94.74,2.59
672.317,94.696,2.69
682.214,94.715,2.719
681.295,94.731,2.692
677.38,94.744,2.678
673.795,94.742,2.668
675.822,94.732,2.692
684.87,94.751,2.689
680.596,94.765,2.594
679.327,94.777,2.544
672.277,94.771,2.55
665.276,94.741,2.629
660.153,94.731,2.613
659.833,94.763,2.507
661.001,94.786,2.393
663.488,94.815,2.295
664.167,94.845,2.21
670.619,94.876,2.176
676.441,94.887,2.114
676.831,94.908,2.059
676.381,94.886,2.135
670.06,94.848,2.19
668.482,94.831,2.245
669.201,94.814,2.294
670.02,94.839,2.207
669.53,94.87,2.121
667.503,94.876,2.066
658.914,94.86,2.062
655.359,94.856,2.054
656.577,94.856,2.059
654.031,94.853,2.054
648.208,94.838,2.098
649.716,94.815,2.166
650.725,94.819,2.156
643.115,94.831,2.167
639.01,94.828,2.225
629.802,94.791,2.274
638.88,94.828,2.26
634.526,94.854,2.101
628.284,94.88,2.086
627.475,94.88,2.1
621.833,94.871,2.115
614.023,94.854,2.187
608.81,94.811,2.292
608.221,94.799,2.32
608.371,94.783,2.381
