数据
556.289
556.289
556.289
556.289
556.289
556.289
560.104
559.425
559.425
559.425
559.425
559.425
559.425
555.111
555.111
555.111
555.111
555.111
555.111
553.343
553.343
553.343
553.343
553.343
553.343
549.168
549.168
549.168
549.168
549.168
549.168
540.989
540.989
540.989
540.989
540.989
540.989
539.391
539.391
539.391
539.391
539.391
539.391
533.998
533.998
533.998
533.998
533.998
533.998
527.217
527.217
527.217
527.217
527.217
527.217
522.753
522.753
522.753
522.753
522.753
522.753
519.248
519.248
519.248
519.248
519.248
519.248
516.102
516.102
516.102
516.102
516.102
516.102
513.655
513.655
513.655
513.655
513.655
513.655
510.279
510.279
510.279
510.279
510.279
510.279
508.272
508.272
508.272
508.272
508.272
508.272
508.132
508.132
508.132
508.132
508.132
508.132
503.089
503.089
503.089
503.089
503.089
503.089
499.244
499.244
499.244
499.244
499.244
499.244
500.992
500.992
500.992
500.992
500.992
500.992
502.41
502.41
502.41
502.41
502.41
502.41
501.821
501.821
501.821
501.821
501.821
501.821
501.591
501.591
501.591
501.591
501.591
501.591
501.691
501.691
501.691
501.691
501.691
501.691
501.092
501.092
501.092
501.092
501.092
501.092
501.611
501.611
501.611
501.611
501.611
501.611
500.073
500.073
500.073
500.073
500.073
500.073
498.655
498.655
498.655
498.655
498.655
498.655
498.355
498.355
498.355
498.355
498.355
498.355
498.355
498.745
498.745
498.745
498.745
498.745
497.876
497.876
497.876
497.876
497.876
497.876
497.876
498.355
498.355
498.355
498.355
498.355
498.175
498.175
498.175
498.175
498.175
498.175
498.175
496.208
496.208
496.208
496.208
496.208
498.345
498.345
498.345
498.345
498.345
498.345
498.345
497.237
497.237
497.237
497.237
497.237
498.046
498.046
498.046
498.046
498.046
498.046
498.046
497.666
497.666
497.666
497.666
497.666
498.245
498.245
498.245
498.245
498.245
498.245
498.245
497.846
497.846
497.846
497.846
497.846
497.846
497.806
497.806
497.806
497.806
497.806
498.395
498.395
498.395
498.395
498.395
498.395
497.936
497.936
497.936
497.936
497.936
497.936
497.986
497.986
497.986
497.986
497.986
497.986
497.796
497.796
497.796
497.796
497.796
497.796
497.796
498.265
498.265
498.265
498.265
498.265
498.265
498.125
498.125
498.125
498.125
498.125
498.415
498.415
498.415
498.415
498.415
498.415
498.415
498.775
498.775
498.775
498.775
498.775
498.745
498.745
498.745
498.745
498.745
498.745
498.745
497.796
497.796
497.796
497.796
497.796
497.736
497.736
497.736
497.736
497.736
497.736
497.736
498.255
498.255
498.255
498.255
498.255
498.255
497.556
497.556
497.556
497.556
497.556
497.556
497.806
497.806
497.806
497.806
497.806
497.976
497.976
497.976
497.976
497.976
497.976
497.976
498.425
498.425
498.425
498.425
498.425
498.465
498.465
498.465
498.465
498.465
498.465
498.465
498.585
498.585
498.585
498.585
498.585
498.235
498.235
498.235
498.235
498.235
498.235
498.635
498.635
498.635
498.635
498.635
498.635
498.635
500.952
500.952
500.952
500.952
500.952
500.952
502.01
502.01
502.01
502.01
502.01
502.52
502.52
502.52
502.52
502.52
502.52
502.52
501.321
501.321
501.321
501.321
501.321
501.321
502.16
502.16
502.16
502.16
502.16
502.16
502.18
502.18
502.18
502.18
502.18
501.681
501.681
501.681
501.681
501.681
501.681
501.681
502.779
502.779
502.779
502.779
502.779
501.611
501.611
501.611
501.611
501.611
501.611
501.611
502.2
502.2
502.2
502.2
502.2
502.2
501.401
501.401
501.401
501.401
501.401
501.401
502.36
502.36
502.36
502.36
502.36
501.731
501.731
501.731
501.731
501.731
501.731
501.731
502.25
502.25
502.25
502.25
502.25
502.6
502.6
502.6
502.6
502.6
502.6
502.6
502.33
502.33
502.33
502.33
502.33
502.33
502.35
502.35
502.35
502.35
502.35
502.35
501.811
501.811
501.811
501.811
501.811
501.811
502.06
502.06
502.06
502.06
502.06
502.06
502.17
502.17
502.17
502.17
502.17
502.17
501.91
501.91
501.91
501.91
501.91
501.91
503.059
503.059
503.059
503.059
503.059
503.059
501.99
501.99
501.99
501.99
501.99
501.99
501.96
501.96
501.96
501.96
501.96
501.96
501.761
501.761
501.761
501.761
501.761
501.761
502.37
502.37
502.37
502.37
502.37
502.37
502.899
502.899
502.899
502.899
502.899
502.899
503.189
503.189
503.189
503.189
503.189
503.189
501.191
501.191
501.191
501.191
501.191
501.191
501.491
501.491
501.491
501.491
501.491
501.491
502.959
502.959
502.959
502.959
502.959
502.959
501.681
501.681
501.681
501.681
